Top pages,Clicks,Impressions,CTR,Position,Topics_x,Topics_y
https://www.jeanpierreweill.com/,1315,50024,2.63%,18.5,,"art, painting, contemporary, artist, gallery"
https://www.jeanpierreweill.com/products/the-well-of-being,362,4425,8.18%,4.32,,"wellness, art, positivity, self-care, empowerment"
https://www.jeanpierreweill.com/collections/all,213,5051,4.22%,7.47,,"art, collections, paintings, sculptures, Jean Pierre Weill"
https://www.jeanpierreweill.com/collections/mini,95,10675,0.89%,6.34,,"* Mini, Collections, Jean Pierre Weill"
https://www.jeanpierreweill.com/collections/petitegrand,66,11732,0.56%,6.76,,"* Jewelry, Petite Grand, Fashion, Accessories"
https://www.jeanpierreweill.com/products/seated-nude,44,625,7.04%,9.95,,"nude, seated, art, products"
http://www.jeanpierreweill.com/,40,423,9.46%,5.24,,"* Art, artist, painting, sculpture, gallery"
https://www.jeanpierreweill.com/collections/petite,39,11075,0.35%,6.63,,"* Petite, Collections, Fashion, Jean Pierre Weill"
https://www.jeanpierreweill.com/pages/books,35,6686,0.52%,8.01,,"* books, Jean Pierre Weill, art, pages"
https://www.jeanpierreweill.com/products/home,26,1544,1.68%,3.3,,"home decor, art, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/collections/well-of-being-prints,19,1195,1.59%,10.78,,"art, prints, well-being, collection"
https://www.jeanpierreweill.com/products/10th-man,18,2495,0.72%,13.7,,"10th Man, Jean-Pierre Weill, Products, Art, Contemporary Art"
https://www.jeanpierreweill.com/products/evolve,13,481,2.70%,13.04,,"evolve, products, Jean Pierre Weill, art, contemporary art"
https://www.jeanpierreweill.com/products/balloon-over-paris,12,2104,0.57%,17.06,,"paris, balloon, art, jeanpierreweill, products"
https://www.jeanpierreweill.com/products/evolve-a-childrens-book-for-adults,12,479,2.51%,12.74,,"evolve, children's book, adults"
https://www.jeanpierreweill.com/products/forest-avenue,11,608,1.81%,13.95,,"forest avenue, products, jean pierre weill, art, painting"
https://www.jeanpierreweill.com/pages/landing-page,10,634,1.58%,8.56,,* No topics found
https://www.jeanpierreweill.com/products/london-carousel,10,575,1.74%,17.12,,"carousel, London, products, Jean Pierre Weill"
https://www.jeanpierreweill.com/pages/contact,9,6185,0.15%,7.78,,"contact, jean pierre weill, pages, website, artist"
https://www.jeanpierreweill.com/products/kotel,9,3686,0.24%,18.75,,"kotel, jean pierre weill, products, art, glass art, judaica"
https://www.jeanpierreweill.com/products/cafe-des-fleurs,9,1261,0.71%,13.91,,"cafe, fleurs, products, Jean Pierre Weill, eCommerce"
https://www.jeanpierreweill.com/products/ruth,8,601,1.33%,7.96,,"ruth, art, artist, painting, product"
https://www.jeanpierreweill.com/products/paris-spring,7,1036,0.68%,24.5,,"paris, spring, products, Jean Pierre Weill, artwork"
https://www.jeanpierreweill.com/products/thebeatles,7,813,0.86%,11.87,,"* The Beatles, Art, Jean Pierre Weill, products, painting"
https://www.jeanpierreweill.com/products/italianpastel,7,744,0.94%,4.43,,"* Italian, pastel, products, Jean Pierre Weill, art, painting"
https://www.jeanpierreweill.com/pages/interview-with-studio-artists,7,258,2.71%,22.69,,"interview, studio artists, Jean Pierre Weill, art, creativity"
https://www.jeanpierreweill.com/collections/grand,5,6834,0.07%,7.99,,"grand, collections, jean pierre weill"
https://www.jeanpierreweill.com/products/jerry-garcia,5,4447,0.11%,7.16,,"music, art, merchandise, Jerry Garcia, Jean Pierre Weill"
https://www.jeanpierreweill.com/products/cafe-picasso,5,2304,0.22%,13.31,,"cafe, picasso, products, jean pierre weill, art"
https://www.jeanpierreweill.com/products/kever-rachel,5,946,0.53%,23.23,,"rachel, kever, products, jean pierre weill"
https://www.jeanpierreweill.com/products/city-of-peace,4,3180,0.13%,9.8,,"city, peace, products, jeanpierreweill, art"
https://www.jeanpierreweill.com/products/dove-of-peace,4,2629,0.15%,19.51,,* No topics found
https://www.jeanpierreweill.com/products/tree-of-life,4,1087,0.37%,55.68,,"tree of life, products, art, Jean Pierre Weill, interpretation"
https://www.jeanpierreweill.com/products/paris-morning,4,711,0.56%,7.4,,"paris morning, products, jean pierre weill"
https://www.jeanpierreweill.com/products/flowers-on-balcony,4,558,0.72%,17.31,,"flowers, balcony, Jean Pierre Weill, products, art"
