Top pages,Clicks,Impressions,CTR,Position,Topics,Top_word
https://www.jeanpierreweill.com/,1315,50024,2.63%,18.5,"art, painting, surrealism, artist, paint, Jean-Pierre, Weill",paintings
https://www.jeanpierreweill.com/products/the-well-of-being,362,4425,8.18%,4.32,"well-being, art, paintings, creativity, mindfulness  ",paintings
https://www.jeanpierreweill.com/collections/all,213,5051,4.22%,7.47,"art, paintings, collections, Jean-Pierre Weill, wall sculptures",paintings
https://www.jeanpierreweill.com/collections/mini,95,10675,0.89%,6.34,"mini, art, jewelry, paintings, sculptures",artist
https://www.jeanpierreweill.com/collections/petitegrand,66,11732,0.56%,6.76,"jewelry, accessories, fashion, style, Petite Grand  ",collection
https://www.jeanpierreweill.com/products/seated-nude,44,625,7.04%,9.95,"seated nude, art, artist, painting, Jean Pierre Weill  ",artist
http://www.jeanpierreweill.com/,40,423,9.46%,5.24,"art, sculpture, painting, music, performance",artist
https://www.jeanpierreweill.com/collections/petite,39,11075,0.35%,6.63,"petite, art, jewelry, sculptures, fashion  ",sculptures
https://www.jeanpierreweill.com/pages/books,35,6686,0.52%,8.01,"books, art, paintings, gallery, exhibition  ",paintings
https://www.jeanpierreweill.com/products/home,26,1544,1.68%,3.3,* Error in API response,N/A
https://www.jeanpierreweill.com/collections/well-of-being-prints,19,1195,1.59%,10.78,"prints, well-being, art, Jean Pierre Weill, collection  ",art
https://www.jeanpierreweill.com/products/10th-man,18,2495,0.72%,13.7,"10th man, contemporary art, sculpture, figurative art, Jean Pierre Weill  ",art
https://www.jeanpierreweill.com/products/evolve,13,481,2.70%,13.04,* No topics found,N/A
https://www.jeanpierreweill.com/products/balloon-over-paris,12,2104,0.57%,17.06,"balloon, Paris, art, painting, reproduction",art
https://www.jeanpierreweill.com/products/evolve-a-childrens-book-for-adults,12,479,2.51%,12.74,"children's book, evolve, Jean Pierre Weill, art, creativity  ",adults
https://www.jeanpierreweill.com/products/forest-avenue,11,608,1.81%,13.95,"wildlife, forest, art, paintings, nature  ",paintings
https://www.jeanpierreweill.com/pages/landing-page,10,634,1.58%,8.56,"art, painting, surrealism, Jean Pierre Weill, landing page  ",artwork
https://www.jeanpierreweill.com/products/london-carousel,10,575,1.74%,17.12,"London, carousel, art, painting, Jean Pierre Weill",art
https://www.jeanpierreweill.com/pages/contact,9,6185,0.15%,7.78,"contact, Jean Pierre Weill, art, gallery",artist
https://www.jeanpierreweill.com/products/kotel,9,3686,0.24%,18.75,"products, Kotel, art, Jean Pierre Weill, glass",glass
https://www.jeanpierreweill.com/products/cafe-des-fleurs,9,1261,0.71%,13.91,"Cafe, Flowers, Products, Jean Pierre Weill",art
https://www.jeanpierreweill.com/products/ruth,8,601,1.33%,7.96,"products, ruth, art, abstract, sculpture  ",sculptures
https://www.jeanpierreweill.com/products/paris-spring,7,1036,0.68%,24.5,"Paris, Spring, artwork, Jean Pierre Weill, product, painting  ",painting
https://www.jeanpierreweill.com/products/thebeatles,7,813,0.86%,11.87,"The Beatles, music, art, paintings, tribute",paintings
https://www.jeanpierreweill.com/products/italianpastel,7,744,0.94%,4.43,"Italian, pastel, art, Jean Pierre Weill, products",beautiful
https://www.jeanpierreweill.com/pages/interview-with-studio-artists,7,258,2.71%,22.69,"interview, studio artists, art, creativity, inspiration",artists
https://www.jeanpierreweill.com/collections/grand,5,6834,0.07%,7.99,"art, paintings, grand, contemporary, surrealism  ",artist
https://www.jeanpierreweill.com/products/jerry-garcia,5,4447,0.11%,7.16,"Jerry Garcia, Art, Paintings, Tribute, Jean Pierre Weill  ",paintings
https://www.jeanpierreweill.com/products/cafe-picasso,5,2304,0.22%,13.31,"cafe, Picasso, art, products, Jean Pierre Weill  ",painting
https://www.jeanpierreweill.com/products/kever-rachel,5,946,0.53%,23.23,"kever, rachel, products, art, Jean Pierre Weill",glass
https://www.jeanpierreweill.com/products/city-of-peace,4,3180,0.13%,9.8,"city, peace, art, sculpture, Jerusalem  ",Jerusalem
https://www.jeanpierreweill.com/products/dove-of-peace,4,2629,0.15%,19.51,"Jean Pierre Weill, products, Dove of Peace, art, stained glass  ",artist
https://www.jeanpierreweill.com/products/tree-of-life,4,1087,0.37%,55.68,"tree of life, art, sculpture, symbolism, nature, jewelry",life
https://www.jeanpierreweill.com/products/paris-morning,4,711,0.56%,7.4,"Paris, Morning, Art, Artist, Painting  ",art
https://www.jeanpierreweill.com/products/flowers-on-balcony,4,558,0.72%,17.31,"flowers, balcony, art, painting, Jean Pierre Weill",artwork
https://www.jeanpierreweill.com/products/kotel-2,4,453,0.88%,38.12,"Kotel, Art, Sculpture, Jean Pierre Weill, Jerusalem",glass
https://www.jeanpierreweill.com/pages/about,3,6635,0.05%,6.54,"Jean Pierre Weill, art, stained glass, artist, inspiration  ",art
https://www.jeanpierreweill.com/products/jerusalem-prayer-1,3,1793,0.17%,8.5,* No topics found,N/A
https://www.jeanpierreweill.com/products/watering,3,1326,0.23%,6.83,"watering, products, Jean Pierre Weill, art, glass fusion   ",art
https://www.jeanpierreweill.com/products/picassos-mirror,3,1041,0.29%,7.99,"Picasso, mirror, art, reflection, painting  ",artist
https://www.jeanpierreweill.com/products/venice-autumn-1,3,586,0.51%,9.27,"Venice, autumn, art, painting, landscape  ",painting
https://www.jeanpierreweill.com/products/new-york-summer,3,252,1.19%,10.27,"New York, Summer, Products, Jean Pierre Weill, Art, Cityscape  ",painting
https://www.jeanpierreweill.com/products/einstien,3,228,1.32%,11.79,"product, Einstein, art, fine art, painting  ",painting
https://www.jeanpierreweill.com/products/child-on-beach,3,195,1.54%,14.17,"child, beach, art, painting, Jean Pierre Weill",sand
https://www.jeanpierreweill.com/pages/galleries,3,44,6.82%,13.91,"galleries, art, paintings, exhibitions, Jean Pierre Weill",artist
https://www.jeanpierreweill.com/blogs/stories-from-our-family-studio/free-video-of-jean-pierre-weills-complete-book-the-well-of-being,3,34,8.82%,13.47,"well-being, Jean Pierre Weill, free video, family studio, complete book",art
https://www.jeanpierreweill.com/products/jitter-bug,2,2073,0.10%,42.05,"jitter bug, products, Jean Pierre Weill, art, sculpture",art
https://www.jeanpierreweill.com/products/aleph-bet,2,898,0.22%,24.37,"Aleph Bet, Jewish art, Hebrew alphabet, Jean Pierre Weill",glass
