Top pages,Clicks,Impressions,CTR,Position
https://www.jeanpierreweill.com/,1315,50024,2.63%,18.5
https://www.jeanpierreweill.com/products/the-well-of-being,362,4425,8.18%,4.32
https://www.jeanpierreweill.com/collections/all,213,5051,4.22%,7.47
https://www.jeanpierreweill.com/collections/mini,95,10675,0.89%,6.34
https://www.jeanpierreweill.com/collections/petitegrand,66,11732,0.56%,6.76
https://www.jeanpierreweill.com/products/seated-nude,44,625,7.04%,9.95
http://www.jeanpierreweill.com/,40,423,9.46%,5.24
https://www.jeanpierreweill.com/collections/petite,39,11075,0.35%,6.63
https://www.jeanpierreweill.com/pages/books,35,6686,0.52%,8.01
https://www.jeanpierreweill.com/products/home,26,1544,1.68%,3.3
https://www.jeanpierreweill.com/collections/well-of-being-prints,19,1195,1.59%,10.78
https://www.jeanpierreweill.com/products/10th-man,18,2495,0.72%,13.7
https://www.jeanpierreweill.com/products/evolve,13,481,2.70%,13.04
https://www.jeanpierreweill.com/products/balloon-over-paris,12,2104,0.57%,17.06
https://www.jeanpierreweill.com/products/evolve-a-childrens-book-for-adults,12,479,2.51%,12.74
https://www.jeanpierreweill.com/products/forest-avenue,11,608,1.81%,13.95
https://www.jeanpierreweill.com/pages/landing-page,10,634,1.58%,8.56
https://www.jeanpierreweill.com/products/london-carousel,10,575,1.74%,17.12
https://www.jeanpierreweill.com/pages/contact,9,6185,0.15%,7.78
https://www.jeanpierreweill.com/products/kotel,9,3686,0.24%,18.75
https://www.jeanpierreweill.com/products/cafe-des-fleurs,9,1261,0.71%,13.91
https://www.jeanpierreweill.com/products/ruth,8,601,1.33%,7.96
https://www.jeanpierreweill.com/products/paris-spring,7,1036,0.68%,24.5
https://www.jeanpierreweill.com/products/thebeatles,7,813,0.86%,11.87
https://www.jeanpierreweill.com/products/italianpastel,7,744,0.94%,4.43
https://www.jeanpierreweill.com/pages/interview-with-studio-artists,7,258,2.71%,22.69
https://www.jeanpierreweill.com/collections/grand,5,6834,0.07%,7.99
https://www.jeanpierreweill.com/products/jerry-garcia,5,4447,0.11%,7.16
https://www.jeanpierreweill.com/products/cafe-picasso,5,2304,0.22%,13.31
https://www.jeanpierreweill.com/products/kever-rachel,5,946,0.53%,23.23
https://www.jeanpierreweill.com/products/city-of-peace,4,3180,0.13%,9.8
https://www.jeanpierreweill.com/products/dove-of-peace,4,2629,0.15%,19.51
https://www.jeanpierreweill.com/products/tree-of-life,4,1087,0.37%,55.68
https://www.jeanpierreweill.com/products/paris-morning,4,711,0.56%,7.4
https://www.jeanpierreweill.com/products/flowers-on-balcony,4,558,0.72%,17.31
https://www.jeanpierreweill.com/products/kotel-2,4,453,0.88%,38.12
https://www.jeanpierreweill.com/pages/about,3,6635,0.05%,6.54
https://www.jeanpierreweill.com/products/jerusalem-prayer-1,3,1793,0.17%,8.5
https://www.jeanpierreweill.com/products/watering,3,1326,0.23%,6.83
https://www.jeanpierreweill.com/products/picassos-mirror,3,1041,0.29%,7.99
https://www.jeanpierreweill.com/products/venice-autumn-1,3,586,0.51%,9.27
https://www.jeanpierreweill.com/products/new-york-summer,3,252,1.19%,10.27
https://www.jeanpierreweill.com/products/einstien,3,228,1.32%,11.79
https://www.jeanpierreweill.com/products/child-on-beach,3,195,1.54%,14.17
https://www.jeanpierreweill.com/pages/galleries,3,44,6.82%,13.91
https://www.jeanpierreweill.com/blogs/stories-from-our-family-studio/free-video-of-jean-pierre-weills-complete-book-the-well-of-being,3,34,8.82%,13.47
https://www.jeanpierreweill.com/products/jitter-bug,2,2073,0.10%,42.05
https://www.jeanpierreweill.com/products/aleph-bet,2,898,0.22%,24.37
https://www.jeanpierreweill.com/products/shape-of-my-heart,2,819,0.24%,17.42
https://www.jeanpierreweill.com/products/jean-pierre-weill-moonlight-dance,2,375,0.53%,30.62
https://www.jeanpierreweill.com/products/jazz-ensemble,2,361,0.55%,28.58
https://www.jeanpierreweill.com/products/dancing-cranes,2,317,0.63%,20.9
https://www.jeanpierreweill.com/products/dancing-on-the-edge,2,314,0.64%,25.01
https://www.jeanpierreweill.com/products/cave-of-machpelah,2,255,0.78%,36.54
https://www.jeanpierreweill.com/products/soul-train,2,237,0.84%,17.12
https://www.jeanpierreweill.com/products/happy-anniversary,2,236,0.85%,16.85
https://www.jeanpierreweill.com/products/jar,2,206,0.97%,27.52
